ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
481448,1996,0,0,0,0,0,0,0,0,0,0
481449,1996,0,0,0,0,0,26,0,0,0,0
481450,1996,19,29,22,7,18,21,16,14,25,23
481451,1996,0,0,0,0,17,0,0,0,0,8
481452,1996,0,0,0,0,12,0,0,0,10,0
481453,1996,0,0,0,0,0,0,0,0,0,0
481454,1996,0,0,0,0,0,0,24,0,0,0
481455,1996,8,8,8,8,8,8,8,8,8,8
481456,1996,0,0,0,0,0,0,0,3,0,0
481457,1996,28,28,28,28,28,28,28,28,28,28
481458,1996,10,10,22,0,7,25,0,20,0,30
481459,1996,0,0,0,0,0,12,0,13,0,0
481460,1996,0,0,0,0,0,0,0,0,0,0
481461,1996,0,0,0,0,0,0,0,0,0,0
481462,1996,24,24,24,24,24,24,24,24,24,24
481463,1996,21,21,21,21,21,21,21,21,21,21
481464,1996,0,0,0,0,0,0,0,0,0,0
481465,1996,14,0,0,0,23,0,9,0,0,23
481466,1996,0,0,0,0,0,0,0,0,0,0
481467,1996,0,0,0,0,0,9,5,0,0,0
481468,1996,0,0,14,0,0,0,0,0,0,0
481469,1996,0,0,16,0,0,0,0,0,0,0
481470,1996,0,0,0,0,0,0,0,0,0,0
481471,1996,22,21,2,43,48,11,18,23,16,27
481472,1996,17,41,12,15,15,16,8,0,10,12
481473,1996,12,12,12,12,12,12,12,12,12,12
481474,1996,0,0,0,0,0,0,0,0,0,0
481475,1996,0,0,0,0,0,0,0,0,0,3
481476,1996,2,2,2,2,2,2,2,2,2,2
481477,1996,23,23,23,23,23,23,23,23,33,23
481478,1996,0,11,0,0,26,0,12,0,0,0
481479,1996,3,6,27,13,9,18,7,15,21,7
481480,1996,25,25,25,25,25,25,25,25,25,25
481481,1996,0,0,0,0,0,0,0,0,0,0
481482,1996,0,0,0,0,0,6,0,0,0,0
481483,1996,19,19,19,19,19,19,19,19,19,19
481484,1996,33,0,0,10,8,15,8,14,21,0
481485,1996,0,0,0,0,0,0,0,0,0,0
481486,1996,0,0,0,0,0,0,0,0,0,0
481487,1996,15,15,15,15,15,15,15,15,15,15
481488,1996,0,0,0,9,7,0,14,0,0,0
481489,1996,29,29,29,29,29,29,29,29,29,29
481490,1996,36,36,36,36,36,36,36,36,36,36
481491,1996,0,0,0,0,17,0,0,0,18,0
481492,1996,0,0,0,0,2,8,8,0,0,0
481493,1996,19,19,19,19,19,19,19,19,19,19
