State,Measures,Year,Values
Alaska,Licensed drivers,2013,528873
Arizona,Licensed drivers,2013,4791450
Arkansas,Licensed drivers,2013,2097201
California,Licensed drivers,2013,24390236
Colorado,Licensed drivers,2013,3837488
Connecticut,Licensed drivers,2013,2534090
Delaware,Licensed drivers,2013,723657
District of Columbia,Licensed drivers,2013,405555
Florida,Licensed drivers,2013,13670441
Georgia,Licensed drivers,2013,6607016
Hawaii,Licensed drivers,2013,915033
Idaho,Licensed drivers,2013,1111485
Illinois,Licensed drivers,2013,8261582
Indiana,Licensed drivers,2013,4500403
Iowa,Licensed drivers,2013,2143665
Kansas,Licensed drivers,2013,2017759
Kentucky,Licensed drivers,2013,3019283
Louisiana,Licensed drivers,2013,3278143
Maine,Licensed drivers,2013,1011385
Maryland,Licensed drivers,2013,4140105
Massachusetts,Licensed drivers,2013,4765586
Michigan,Licensed drivers,2013,6986587
Minnesota,Licensed drivers,2013,3330725
Mississippi,Licensed drivers,2013,1968907
Missouri,Licensed drivers,2013,4280438
Montana,Licensed drivers,2013,766716
Nebraska,Licensed drivers,2013,1374529
Nevada,Licensed drivers,2013,1756095
New Hampshire,Licensed drivers,2013,1061433
New Jersey,Licensed drivers,2013,6081386
New Mexico,Licensed drivers,2013,1456500
New York,Licensed drivers,2013,11210783
North Carolina,Licensed drivers,2013,6822902
North Dakota,Licensed drivers,2013,513838
Ohio,Licensed drivers,2013,8030421
Oklahoma,Licensed drivers,2013,2418307
Oregon,Licensed drivers,2013,2773373
Pennsylvania,Licensed drivers,2013,8896590
Rhode Island,Licensed drivers,2013,749232
South Carolina,Licensed drivers,2013,3536404
South Dakota,Licensed drivers,2013,603643
Tennessee,Licensed drivers,2013,4605100
Texas,Licensed drivers,2013,15447273
Utah,Licensed drivers,2013,1661219
Vermont,Licensed drivers,2013,543057
Virginia,Licensed drivers,2013,5602765
Washington,Licensed drivers,2013,5301630
West Virginia,Licensed drivers,2013,1177136
Wisconsin,Licensed drivers,2013,4171427
Wyoming,Licensed drivers,2013,421473
Alabama,Licensed drivers,2012,3827522
Alaska,Licensed drivers,2012,526371
Arizona,Licensed drivers,2012,4697579
Arkansas,Licensed drivers,2012,2199164
California,Licensed drivers,2012,24200997
Colorado,Licensed drivers,2012,3807673
Connecticut,Licensed drivers,2012,2485708
Delaware,Licensed drivers,2012,720290
District of Columbia,Licensed drivers,2012,400993
Florida,Licensed drivers,2012,13896581
Georgia,Licensed drivers,2012,6581534
Hawaii,Licensed drivers,2012,915033
Idaho,Licensed drivers,2012,1092977
Illinois,Licensed drivers,2012,8235745
Indiana,Licensed drivers,2012,5375973
Iowa,Licensed drivers,2012,2217304
Kansas,Licensed drivers,2012,2018029
Kentucky,Licensed drivers,2012,2985234
Louisiana,Licensed drivers,2012,2923744
Maine,Licensed drivers,2012,1008190
Maryland,Licensed drivers,2012,4102154
Massachusetts,Licensed drivers,2012,4733936
Michigan,Licensed drivers,2012,7018713
Minnesota,Licensed drivers,2012,3321760
Mississippi,Licensed drivers,2012,1957980
Missouri,Licensed drivers,2012,4288488
Montana,Licensed drivers,2012,757812
Nebraska,Licensed drivers,2012,1363596
Nevada,Licensed drivers,2012,1728060
New Hampshire,Licensed drivers,2012,1064604
New Jersey,Licensed drivers,2012,6039623
New Mexico,Licensed drivers,2012,1430475
New York,Licensed drivers,2012,11248617
North Carolina,Licensed drivers,2012,6677693
North Dakota,Licensed drivers,2012,502807
Ohio,Licensed drivers,2012,8006183
Oklahoma,Licensed drivers,2012,2400358
Oregon,Licensed drivers,2012,2769757
Pennsylvania,Licensed drivers,2012,8842587
Rhode Island,Licensed drivers,2012,749706
South Carolina,Licensed drivers,2012,3455931
South Dakota,Licensed drivers,2012,606779
Tennessee,Licensed drivers,2012,4573871
Texas,Licensed drivers,2012,15252192
Utah,Licensed drivers,2012,1788822
Vermont,Licensed drivers,2012,529501
Virginia,Licensed drivers,2012,5538480
Washington,Licensed drivers,2012,5227889
West Virginia,Licensed drivers,2012,1241586
Wisconsin,Licensed drivers,2012,4056649
Wyoming,Licensed drivers,2012,421580
Alabama,Licensed drivers,2011,3798552
Alaska,Licensed drivers,2011,521280
Arizona,Licensed drivers,2011,4592398
Arkansas,Licensed drivers,2011,1956091
California,Licensed drivers,2011,23856600
Colorado,Licensed drivers,2011,3669816
Connecticut,Licensed drivers,2011,2986267
Delaware,Licensed drivers,2011,716109
District of Columbia,Licensed drivers,2011,395442
Florida,Licensed drivers,2011,13882423
Georgia,Licensed drivers,2011,6505690
Hawaii,Licensed drivers,2011,911660
Idaho,Licensed drivers,2011,1083992
Illinois,Licensed drivers,2011,8373969
Indiana,Licensed drivers,2011,6569665
Iowa,Licensed drivers,2011,2191715
Kansas,Licensed drivers,2011,2025581
Kentucky,Licensed drivers,2011,2959881
Louisiana,Licensed drivers,2011,3186227
Maine,Licensed drivers,2011,1014826
Maryland,Licensed drivers,2011,3856604
Massachusetts,Licensed drivers,2011,4683322.97
Michigan,Licensed drivers,2011,7059509
Minnesota,Licensed drivers,2011,3306139
Mississippi,Licensed drivers,2011,1926603
Missouri,Licensed drivers,2011,4277037
Montana,Licensed drivers,2011,752483
Nebraska,Licensed drivers,2011,1356377
Nevada,Licensed drivers,2011,1700829
New Hampshire,Licensed drivers,2011,1056889
New Jersey,Licensed drivers,2011,5977458
New Mexico,Licensed drivers,2011,1418641
New York,Licensed drivers,2011,11210783
North Carolina,Licensed drivers,2011,6569341
North Dakota,Licensed drivers,2011,490146
Ohio,Licensed drivers,2011,7982149
