ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10221,1,1,1991,21,21,21,21,21,21,21,21,21,21
10222,1,1,1991,25,15,0,0,0,14,11,0,17,0
10223,0,1,1991,0,0,8,0,0,24,0,0,0,17
10223,1,1,1991,0,0,0,0,0,0,0,0,0,0
10224,0,1,1991,22,18,6,9,25,43,8,35,14,38
10224,1,1,1991,0,0,0,0,0,0,0,19,0,0
10225,1,1,1991,0,0,0,0,0,0,0,0,0,0
10225,2,1,1991,0,0,0,0,0,0,0,0,0,0
10226,1,1,1991,17,17,17,17,17,17,17,17,17,17
10227,1,1,1991,31,0,0,0,0,0,17,0,0,18
10228,1,1,1991,0,0,0,0,0,0,0,0,0,0
10228,2,1,1991,5,5,5,5,5,5,5,5,5,5
10229,1,1,1991,0,0,0,0,0,0,0,0,0,0
10229,2,1,1991,0,0,0,0,0,0,0,0,0,0
10230,1,1,1991,13,11,13,16,16,30,16,25,16,10
10231,1,1,1991,16,0,0,0,0,0,0,0,0,0
10231,2,1,1991,0,0,0,0,0,0,0,0,0,0
10232,1,1,1991,0,9,0,23,0,0,0,0,0,0
10233,1,1,1991,0,0,0,0,0,0,0,0,0,0
10234,1,1,1991,0,0,19,10,8,0,18,30,0,19
10235,0,1,1991,2,2,2,2,2,2,2,2,2,2
10235,0,2,1991,0,0,0,0,0,0,27,0,0,0
10235,1,1,1991,0,0,0,0,0,0,0,0,0,0
10236,1,1,1991,7,33,22,0,0,18,0,0,17,0
10237,1,1,1991,0,0,0,0,0,0,0,0,0,0
10237,2,1,1991,0,0,0,0,0,0,11,0,0,0
10237,3,1,1991,0,0,0,0,0,0,0,0,0,0
10238,1,1,1991,9,0,11,23,12,18,0,27,20,18
10239,1,1,1991,0,0,21,0,0,13,0,0,0,0
10240,1,1,1991,16,16,16,16,16,16,16,16,16,16
10240,2,1,1991,0,0,0,0,0,0,0,0,0,0
10241,1,1,1991,0,0,0,0,0,0,0,0,0,0
10241,2,1,1991,0,0,0,0,0,0,0,0,0,0
10242,1,1,1991,21,0,10,0,10,18,17,0,6,0
10242,2,1,1991,12,14,15,0,0,0,0,0,0,0
10243,1,1,1991,8,8,8,8,8,8,8,8,8,8
10244,1,1,1991,25,25,25,25,25,25,25,25,25,25
10245,1,1,1991,0,0,0,0,0,0,0,0,0,0
10246,1,1,1991,8,20,19,13,22,13,19,15,35,12
10247,0,1,1991,0,13,26,0,15,0,8,20,25,0
10247,1,1,1991,0,0,0,0,0,0,0,0,0,0
10248,1,1,1991,4,4,4,4,4,4,4,4,4,4
10249,1,1,1991,26,8,18,26,27,13,30,21,33,16
10249,2,1,1991,0,0,0,0,0,0,0,0,0,0
10250,0,1,1991,17,16,22,11,46,18,11,34,35,7
10250,1,1,1991,0,0,0,0,0,0,0,0,0,0
10251,0,1,1991,20,20,20,20,20,20,20,20,20,20
10251,1,1,1991,0,0,0,0,0,0,0,0,0,0
10252,1,1,1991,0,0,0,0,0,0,0,0,0,0
10252,2,1,1991,28,28,28,28,28,28,28,28,28,28
10253,1,1,1991,0,0,0,0,0,0,0,0,10,0
10253,2,1,1991,0,0,0,0,0,0,0,0,0,0
10254,1,1,1991,30,30,30,30,30,30,30,30,30,30
10254,2,1,1991,0,0,0,0,0,0,0,0,0,0
10254,3,1,1991,0,0,0,0,0,0,0,0,0,0
10255,1,1,1991,0,0,8,36,0,9,0,0,0,0
10255,2,1,1991,0,9,16,0,0,0,15,0,13,0
